Barrutia;Eserlekuak;EAJ-PNV;PH;PCTE / ELAK;PSE-EE/PSOE;ATTKA/PACMA;PUM+J;EB-AZ;O.E.;EH BILDU;VOX;P-LIB;LxE-EaL;PODEMOS-AHALDUGU/EZKER AN;PP+Cs;L.F.F.;UCDE;EQUO BERDEAK-VERDES;RECORTES CERO-LV-M;Zuriak
Araba;25;40067;0;0;19452;741;282;475;64;30934;4734;0;169;10092;14316;51;0;2746;266;1142
Bizkaia;25;200339;279;549;64001;2797;613;1079;0;112619;8815;0;359;40453;32248;258;0;5533;676;4524
Gipuzkoa;25;109554;0;0;38795;1357;208;911;0;106027;4020;176;171;21568;14086;0;121;3439;362;2874
