Barrutia;Eserlekuak;EAJ-PNV;PP;PH;EK-PCPE;PSE-EE/PSOE;PACMA/ATTKA;PFYV;C´S;EB-AZ;O.E.;EH BILDU;VOX;GANEMOS;LN;PODEMOS/AHAL DUGU-IU;RECORTES CERO-GV;Zuriak
Araba;25;42327;27877;0;0;19489;1498;0;4784;385;124;26899;771;856;0;24339;664;1078
Gipuzkoa;25;117260;24766;0;0;40425;2535;805;5730;0;0;98663;0;1856;191;48800;806;2119
Bizkaia;25;238581;55128;351;466;66506;4556;1031;10963;903;250;99610;0;3337;0;84195;1277;3484
