Barrutia;Eserlekuak;EAJ-PNV;EH BILDU;PSE-EE/PSOE;PP;SUMAR;PODEMOS-AHAL DUGU - ALIANZA VERDE;VOX;PACMA;EB-AZ;PUM+J;IZAN;PCTE / ELAK;PH;O.E.;Zuriak
Araba;25;41111;44815;24911;24429;5630;3681;5656;974;691;301;0;0;0;187;1369
Bizkaia;25;223118;161486;79575;51644;19155;12738;10822;2827;1260;920;780;666;475;0;5528
Gipuzkoa;25;108227;137308;46266;22071;10617;7469;5218;1784;1161;462;639;0;0;0;3626
